 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.208727E-01
 2.125000E-01  8.364855E-01  8.364855E-01  1.568237E+00  1.567750E+00  2.404443E+00  4.882662E-02  1.002172E+00
 4.250000E-01  1.232090E+00  1.232090E+00  2.108660E+00  2.524488E+00  3.576369E+00  5.841412E-02  6.359405E-01
 6.375000E-01  9.858661E-01  9.858661E-01  1.763669E+00  2.894588E+00  3.346689E+00  3.873639E-02  3.415419E-01
 8.500000E-01  1.261466E+00  1.261466E+00  3.188960E+00  6.135964E+00  5.710472E+00  8.809266E-02  9.159763E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  3.898102E-01
 2.125000E-01  8.364855E-01  8.364855E-01  1.568237E+00  1.567750E+00  2.404441E+00  4.501729E-02  9.239848E-01
 4.250000E-01  1.232090E+00  1.232090E+00  2.108660E+00  2.524488E+00  3.577125E+00  5.332905E-02  5.805805E-01
 6.375000E-01  9.858661E-01  9.858661E-01  1.763669E+00  2.751809E+00  3.274772E+00  3.543084E-02  3.123965E-01
 8.500000E-01  1.261466E+00  1.261466E+00  4.188960E+00  7.135964E+00  6.710472E+00  8.809266E-02  9.159763E-01
