 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00 -1.392693E+00 -0.000000E+00  1.274142E+00 -0.000000E+00  1.089551E-03  0.000000E+00 -8.490597E-04  2.854075E+00  2.675063E+00
 1.050000E-01  9.238020E-02 -1.442475E+00  6.763742E-02  1.275724E+00  6.310037E-03  2.114510E-02  2.186920E-02 -3.906720E-02  2.851940E+00  2.672359E+00
 2.100000E-01  1.856432E-01 -1.535204E+00  9.155960E-02  1.284165E+00  1.168952E-02  4.296069E-02  4.287928E-02 -6.507966E-02  2.846317E+00  2.707983E+00
 3.150000E-01  2.796748E-01 -1.581698E+00  6.728338E-02  1.289844E+00  9.826041E-03  6.359701E-02  5.966533E-02 -7.696361E-02  2.838758E+00  2.736702E+00
 4.200000E-01  3.744484E-01 -1.634982E+00  2.059599E-01  1.294072E+00  1.622208E-02  8.323372E-02  7.977965E-02 -8.172501E-02  2.830383E+00  2.777586E+00
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00 -1.392693E+00 -0.000000E+00  1.274142E+00 -0.000000E+00  1.089551E-03  0.000000E+00 -8.490597E-04  2.854075E+00  2.675063E+00
 1.050000E-01  9.238020E-02 -1.442475E+00  6.763742E-02  1.275724E+00  6.310037E-03  2.114510E-02  2.186920E-02 -3.906720E-02  2.851940E+00  2.672359E+00
 2.100000E-01  1.856432E-01 -1.535204E+00  9.155960E-02  1.284165E+00  1.168952E-02  4.296069E-02  4.287928E-02 -6.507966E-02  2.846317E+00  2.707983E+00
 3.150000E-01  2.796748E-01 -1.581698E+00  6.728338E-02  1.289844E+00  9.826041E-03  6.359701E-02  5.966533E-02 -7.696361E-02  2.838758E+00  2.736702E+00
 4.200000E-01  3.744484E-01 -1.634982E+00  2.059599E-01  1.294072E+00  1.622208E-02  8.323372E-02  7.977965E-02 -8.172501E-02  2.830383E+00  2.777586E+00
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00 -1.392693E+00 -0.000000E+00  1.274142E+00 -0.000000E+00  1.089551E-03  0.000000E+00 -8.490597E-04  2.854075E+00  2.675063E+00
 1.050000E-01  9.238020E-02 -1.442475E+00  6.763742E-02  1.275724E+00  6.310037E-03  2.114510E-02  2.186920E-02 -3.906720E-02  2.851940E+00  2.672359E+00
 2.100000E-01  1.856432E-01 -1.535204E+00  9.155960E-02  1.284165E+00  1.168952E-02  4.296069E-02  4.287928E-02 -6.507966E-02  2.846317E+00  2.707983E+00
 3.150000E-01  2.796748E-01 -1.581698E+00  6.728338E-02  1.289844E+00  9.826041E-03  6.359701E-02  5.966533E-02 -7.696361E-02  2.838758E+00  2.736702E+00
 4.200000E-01  3.744484E-01 -1.634982E+00  2.059599E-01  1.294072E+00  1.622208E-02  8.323372E-02  7.977965E-02 -8.172501E-02  2.830383E+00  2.777586E+00
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00 -1.392693E+00 -0.000000E+00  1.274142E+00 -0.000000E+00  1.089551E-03  0.000000E+00 -8.490597E-04  2.854075E+00  2.675063E+00
 1.050000E-01  9.238020E-02 -1.442475E+00  6.763742E-02  1.275724E+00  6.310037E-03  2.114510E-02  2.186920E-02 -3.906720E-02  2.851940E+00  2.672359E+00
 2.100000E-01  1.856432E-01 -1.535204E+00  9.155960E-02  1.284165E+00  1.168952E-02  4.296069E-02  4.287928E-02 -6.507966E-02  2.846317E+00  2.707983E+00
 3.150000E-01  2.796748E-01 -1.581698E+00  6.728338E-02  1.289844E+00  9.826041E-03  6.359701E-02  5.966533E-02 -7.696361E-02  2.838758E+00  2.736702E+00
 4.200000E-01  3.744484E-01 -1.634982E+00  2.059599E-01  1.294072E+00  1.622208E-02  8.323372E-02  7.977965E-02 -8.172501E-02  2.830383E+00  2.777586E+00
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00 -1.392693E+00 -0.000000E+00  1.274142E+00 -0.000000E+00  1.089551E-03  0.000000E+00 -8.490597E-04  2.854075E+00  2.675063E+00
 1.050000E-01  9.238020E-02 -1.442475E+00  6.763742E-02  1.275724E+00  6.310037E-03  2.114510E-02  2.186920E-02 -3.906720E-02  2.851940E+00  2.672359E+00
 2.100000E-01  1.856432E-01 -1.535204E+00  9.155960E-02  1.284165E+00  1.168952E-02  4.296069E-02  4.287928E-02 -6.507966E-02  2.846317E+00  2.707983E+00
 3.150000E-01  2.796748E-01 -1.581698E+00  6.728338E-02  1.289844E+00  9.826041E-03  6.359701E-02  5.966533E-02 -7.696361E-02  2.838758E+00  2.736702E+00
 4.200000E-01  3.744484E-01 -1.634982E+00  2.059599E-01  1.294072E+00  1.622208E-02  8.323372E-02  7.977965E-02 -8.172501E-02  2.830383E+00  2.777586E+00
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00 -1.392693E+00 -0.000000E+00  1.274142E+00 -0.000000E+00  1.089551E-03  0.000000E+00 -8.490597E-04  2.854075E+00  2.675063E+00
 1.050000E-01  9.238020E-02 -1.442475E+00  6.763742E-02  1.275724E+00  6.310037E-03  2.114510E-02  2.186920E-02 -3.906720E-02  2.851940E+00  2.672359E+00
 2.100000E-01  1.856432E-01 -1.535204E+00  9.155960E-02  1.284165E+00  1.168952E-02  4.296069E-02  4.287928E-02 -6.507966E-02  2.846317E+00  2.707983E+00
 3.150000E-01  2.796748E-01 -1.581698E+00  6.728338E-02  1.289844E+00  9.826041E-03  6.359701E-02  5.966533E-02 -7.696361E-02  2.838758E+00  2.736702E+00
 4.200000E-01  3.744484E-01 -1.634982E+00  2.059599E-01  1.294072E+00  1.622208E-02  8.323372E-02  7.977965E-02 -8.172501E-02  2.830383E+00  2.777586E+00
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00 -1.392693E+00 -0.000000E+00  1.274142E+00 -0.000000E+00  1.089551E-03  0.000000E+00 -8.490597E-04  2.854075E+00  2.675063E+00
 1.050000E-01  9.238020E-02 -1.442475E+00  6.763742E-02  1.275724E+00  6.310037E-03  2.114510E-02  2.186920E-02 -3.906720E-02  2.851940E+00  2.672359E+00
 2.100000E-01  1.856432E-01 -1.535204E+00  9.155960E-02  1.284165E+00  1.168952E-02  4.296069E-02  4.287928E-02 -6.507966E-02  2.846317E+00  2.707983E+00
 3.150000E-01  2.796748E-01 -1.581698E+00  6.728338E-02  1.289844E+00  9.826041E-03  6.359701E-02  5.966533E-02 -7.696361E-02  2.838758E+00  2.736702E+00
 4.200000E-01  3.744484E-01 -1.634982E+00  2.059599E-01  1.294072E+00  1.622208E-02  8.323372E-02  7.977965E-02 -8.172501E-02  2.830383E+00  2.777586E+00
 5.250000E-01  4.705391E-01 -1.755859E+00  4.654173E-01  1.301333E+00  3.695910E-02  1.043584E-01  1.135949E-01 -8.441315E-02  2.821670E+00  2.840921E+00
 6.300000E-01  5.689266E-01 -1.983384E+00  9.148974E-01  1.314309E+00  7.817195E-02  1.296021E-01  1.720038E-01 -8.931377E-02  2.812576E+00  2.951940E+00
 7.350000E-01  6.714153E-01 -2.382347E+00  1.518426E+00  1.337190E+00  1.563955E-01  1.635670E-01  2.813591E-01 -9.815465E-02  2.802783E+00  3.148163E+00
 8.400000E-01  7.813172E-01 -3.089201E+00  2.512152E+00  1.377893E+00  3.219147E-01  2.146664E-01  5.256860E-01 -1.128833E-01  2.791763E+00  3.515547E+00
