 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
 4.200000E-01  5.503492E-04  9.443911E-03 -2.325430E-03 -5.948939E-03  2.731146E+00  2.162796E+01
 5.250000E-01  5.614990E-04  1.221486E-02 -4.090499E-03 -9.828790E-03  4.264559E+00  2.714716E+01
 6.300000E-01  5.769649E-04  1.810455E-02 -6.352316E-03 -1.531947E-02  6.155361E+00  3.304960E+01
 7.350000E-01  6.021604E-04  3.225060E-02 -9.074559E-03 -2.220466E-02  8.441500E+00  3.980218E+01
 8.400000E-01  6.532948E-04  7.421378E-02 -1.230376E-02 -2.814378E-02  1.120601E+01  4.863766E+01
 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
                                                                       m^3           m^2
 0.000000E+00  5.288460E-04 -4.541378E-04  5.085163E-04  0.000000E+00  0.000000E+00  0.000000E+00
 1.050000E-01  5.296707E-04  3.047373E-03 -7.495878E-05 -1.160193E-03  1.703861E-01  5.425500E+00
 2.100000E-01  5.342688E-04  5.707785E-03 -6.703068E-04 -1.246579E-03  6.839531E-01  1.089187E+01
 3.150000E-01  5.413996E-04  7.704408E-03 -1.249862E-03 -2.273811E-03  1.539220E+00  1.627219E+01
 4.200000E-01  5.503492E-04  9.443911E-03 -2.325430E-03 -5.948939E-03  2.731146E+00  2.162796E+01
 5.250000E-01  5.614990E-04  1.221486E-02 -4.090499E-03 -9.828790E-03  4.264559E+00  2.714716E+01
 6.300000E-01  5.769649E-04  1.810455E-02 -6.352316E-03 -1.531947E-02  6.155361E+00  3.304960E+01
 7.350000E-01  6.021604E-04  3.225060E-02 -9.074559E-03 -2.220466E-02  8.441500E+00  3.980218E+01
 8.400000E-01  6.532948E-04  7.421378E-02 -1.230376E-02 -2.814378E-02  1.120601E+01  4.863766E+01
 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
                                                                       m^3           m^2
 0.000000E+00  5.288460E-04 -4.541378E-04  5.085163E-04  0.000000E+00  0.000000E+00  0.000000E+00
 1.050000E-01  5.296707E-04  3.047373E-03 -7.495878E-05 -1.160193E-03  1.703861E-01  5.425500E+00
 2.100000E-01  5.342688E-04  5.707785E-03 -6.703068E-04 -1.246579E-03  6.839531E-01  1.089187E+01
 3.150000E-01  5.413996E-04  7.704408E-03 -1.249862E-03 -2.273811E-03  1.539220E+00  1.627219E+01
 4.200000E-01  5.503492E-04  9.443911E-03 -2.325430E-03 -5.948939E-03  2.731146E+00  2.162796E+01
 5.250000E-01  5.614990E-04  1.221486E-02 -4.090499E-03 -9.828790E-03  4.264559E+00  2.714716E+01
 6.300000E-01  5.769649E-04  1.810455E-02 -6.352316E-03 -1.531947E-02  6.155361E+00  3.304960E+01
 7.350000E-01  6.021604E-04  3.225060E-02 -9.074559E-03 -2.220466E-02  8.441500E+00  3.980218E+01
 8.400000E-01  6.532948E-04  7.421378E-02 -1.230376E-02 -2.814378E-02  1.120601E+01  4.863766E+01
 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
                                                                       m^3           m^2
 0.000000E+00  5.288460E-04 -4.541378E-04  5.085163E-04  0.000000E+00  0.000000E+00  0.000000E+00
 1.050000E-01  5.296707E-04  3.047373E-03 -7.495878E-05 -1.160193E-03  1.703861E-01  5.425500E+00
 2.100000E-01  5.342688E-04  5.707785E-03 -6.703068E-04 -1.246579E-03  6.839531E-01  1.089187E+01
 3.150000E-01  5.413996E-04  7.704408E-03 -1.249862E-03 -2.273811E-03  1.539220E+00  1.627219E+01
 4.200000E-01  5.503492E-04  9.443911E-03 -2.325430E-03 -5.948939E-03  2.731146E+00  2.162796E+01
 5.250000E-01  5.614990E-04  1.221486E-02 -4.090499E-03 -9.828790E-03  4.264559E+00  2.714716E+01
 6.300000E-01  5.769649E-04  1.810455E-02 -6.352316E-03 -1.531947E-02  6.155361E+00  3.304960E+01
 7.350000E-01  6.021604E-04  3.225060E-02 -9.074559E-03 -2.220466E-02  8.441500E+00  3.980218E+01
 8.400000E-01  6.532948E-04  7.421378E-02 -1.230376E-02 -2.814378E-02  1.120601E+01  4.863766E+01
 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
                                                                       m^3           m^2
 0.000000E+00  5.288460E-04 -4.541378E-04  5.085163E-04  0.000000E+00  0.000000E+00  0.000000E+00
 1.050000E-01  5.296707E-04  3.047373E-03 -7.495878E-05 -1.160193E-03  1.703861E-01  5.425500E+00
 2.100000E-01  5.342688E-04  5.707785E-03 -6.703068E-04 -1.246579E-03  6.839531E-01  1.089187E+01
 3.150000E-01  5.413996E-04  7.704408E-03 -1.249862E-03 -2.273811E-03  1.539220E+00  1.627219E+01
 4.200000E-01  5.503492E-04  9.443911E-03 -2.325430E-03 -5.948939E-03  2.731146E+00  2.162796E+01
 5.250000E-01  5.614990E-04  1.221486E-02 -4.090499E-03 -9.828790E-03  4.264559E+00  2.714716E+01
 6.300000E-01  5.769649E-04  1.810455E-02 -6.352316E-03 -1.531947E-02  6.155361E+00  3.304960E+01
 7.350000E-01  6.021604E-04  3.225060E-02 -9.074559E-03 -2.220466E-02  8.441500E+00  3.980218E+01
 8.400000E-01  6.532948E-04  7.421378E-02 -1.230376E-02 -2.814378E-02  1.120601E+01  4.863766E+01
 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
                                                                       m^3           m^2
 0.000000E+00  5.288460E-04 -4.541378E-04  5.085163E-04  0.000000E+00  0.000000E+00  0.000000E+00
 1.050000E-01  5.296707E-04  3.047373E-03 -7.495878E-05 -1.160193E-03  1.703861E-01  5.425500E+00
 2.100000E-01  5.342688E-04  5.707785E-03 -6.703068E-04 -1.246579E-03  6.839531E-01  1.089187E+01
 3.150000E-01  5.413996E-04  7.704408E-03 -1.249862E-03 -2.273811E-03  1.539220E+00  1.627219E+01
 4.200000E-01  5.503492E-04  9.443911E-03 -2.325430E-03 -5.948939E-03  2.731146E+00  2.162796E+01
 5.250000E-01  5.614990E-04  1.221486E-02 -4.090499E-03 -9.828790E-03  4.264559E+00  2.714716E+01
 6.300000E-01  5.769649E-04  1.810455E-02 -6.352316E-03 -1.531947E-02  6.155361E+00  3.304960E+01
 7.350000E-01  6.021604E-04  3.225060E-02 -9.074559E-03 -2.220466E-02  8.441500E+00  3.980218E+01
 8.400000E-01  6.532948E-04  7.421378E-02 -1.230376E-02 -2.814378E-02  1.120601E+01  4.863766E+01
