 r/a           Chi_GB        Q_GB          Gamma_GB      Pi_GB
               m^2/s         MW/m^2        10^19/m^2/s   J/m^2
 0.000000E+00  4.492142E+00  1.069055E-01  2.557267E+01  1.812372E-01
 5.312500E-02  4.492225E+00  1.048955E-01  2.540102E+01  1.789218E-01
 1.062500E-01  4.193244E+00  9.282330E-02  2.326430E+01  1.610767E-01
 1.593750E-01  3.821159E+00  7.769549E-02  2.057189E+01  1.385780E-01
 2.125000E-01  3.367647E+00  6.108938E-02  1.741980E+01  1.130742E-01
 2.656250E-01  2.898731E+00  4.568755E-02  1.428310E+01  8.854609E-02
 3.187500E-01  2.439622E+00  3.262792E-02  1.136829E+01  6.675771E-02
 3.718750E-01  2.002955E+00  2.229595E-02  8.778468E+00  4.849328E-02
 4.250000E-01  1.616349E+00  1.478097E-02  6.639955E+00  3.433944E-02
 4.781250E-01  1.295270E+00  9.699211E-03  4.984819E+00  2.410195E-02
 5.312500E-01  1.026044E+00  6.303563E-03  3.710801E+00  1.676432E-02
 5.843750E-01  8.054923E-01  4.064376E-03  2.750231E+00  1.158886E-02
 6.375000E-01  6.165755E-01  2.544719E-03  1.994977E+00  7.809946E-03
 6.906250E-01  4.555164E-01  1.516835E-03  1.400004E+00  5.051182E-03
 7.437500E-01  3.171966E-01  8.291478E-04  9.263563E-01  3.037835E-03
 7.968750E-01  2.029561E-01  3.993119E-04  5.617502E-01  1.641674E-03
 8.500000E-01  1.151389E-01  1.598749E-04  2.998210E-01  7.588926E-04
 r/a           Chi_GB        Q_GB          Gamma_GB      Pi_GB
               m^2/s         MW/m^2        10^19/m^2/s   J/m^2
 0.000000E+00  4.719824E+00  1.051179E-01  2.432976E+01  1.752938E-01
 5.312500E-02  4.723447E+00  1.039536E-01  2.434457E+01  1.743733E-01
 1.062500E-01  4.410005E+00  9.337211E-02  2.262860E+01  1.593296E-01
 1.593750E-01  4.018963E+00  7.860564E-02  2.012424E+01  1.378624E-01
 2.125000E-01  3.542765E+00  6.187182E-02  1.705663E+01  1.126036E-01
 2.656250E-01  3.049931E+00  4.638982E-02  1.401929E+01  8.839618E-02
 3.187500E-01  2.568102E+00  3.313487E-02  1.115658E+01  6.664497E-02
 3.718750E-01  2.109990E+00  2.270747E-02  8.635520E+00  4.853866E-02
 4.250000E-01  1.705068E+00  1.516799E-02  6.575353E+00  3.461646E-02
 4.781250E-01  1.366555E+00  1.002182E-02  4.969906E+00  2.446282E-02
 5.312500E-01  1.082098E+00  6.544279E-03  3.718288E+00  1.709864E-02
 5.843750E-01  8.488606E-01  4.235890E-03  2.767812E+00  1.186861E-02
 6.375000E-01  6.489006E-01  2.660071E-03  2.015564E+00  8.026092E-03
 6.906250E-01  4.784004E-01  1.589287E-03  1.419716E+00  5.206682E-03
 7.437500E-01  3.325748E-01  8.785833E-04  9.510905E-01  3.168558E-03
 7.968750E-01  2.122495E-01  4.282031E-04  5.846794E-01  1.734375E-03
 8.500000E-01  1.151389E-01  1.598749E-04  2.998210E-01  7.588926E-04
